initial_preference_width,adaptive_tolerance,initial_distribution,social_signal_weight,trending_weight,regime,seed,initial_mean_extremity,initial_opinion_variance,initial_extreme_share,final_mean_opinion,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_preference_extremity,final_acceptance_threshold,final_rejection_threshold,final_acceptance_rate,final_ignore_rate,final_backfire_rate,final_avg_exposure_distance,final_opinion_bimodality,final_acceptance_history_filled
0.2,False,moderate,0.0,0.5,global_trending,1,0.19895349315467883,0.06161311911190769,0.0,0.012455966459726868,0.06089023560912961,0.01159249004795603,0.005,0.12690628538098914,0.06270766313890475,0.26585000000000003,0.7014999999999999,0.79885,0.1984,0.00275,0.10623757780296625,0.6965552853891857,0.998
0.2,False,moderate,0.0,0.5,global_trending,2,0.19957916579625706,0.05862261540272574,0.005,0.011453679978286191,0.08124040203815558,0.02476670078055514,0.015,0.1260424687236542,0.08431468764624382,0.26330000000000003,0.6969999999999998,0.78785,0.20625,0.0059,0.11516029104943726,0.5817877986210941,0.988
0.2,False,moderate,0.0,0.5,global_trending,3,0.19460242571489142,0.06537622674168732,0.015,0.016043939447688955,0.08548751603330988,0.03367367158916034,0.025,0.12475028468700755,0.08724729818175382,0.26160000000000005,0.694,0.78685,0.2056,0.00755,0.10933690623949338,0.5119475530539307,0.9830000000000001
0.2,False,moderate,0.0,0.5,global_trending,4,0.20581124986312146,0.06944259976317083,0.005,-0.03141197000851157,0.09934396590498448,0.03688531600832012,0.02,0.12500775006998993,0.10289021777485806,0.2667,0.7029999999999998,0.7816,0.21055,0.00785,0.13109398031592767,0.5407721366291297,0.9934999999999999
0.2,False,moderate,0.0,0.5,global_trending,5,0.2146503416162004,0.07057609047191062,0.0,-0.04045656840326903,0.08670788138351786,0.020162007253462795,0.01,0.12695393352088472,0.08044724268801087,0.2573500000000001,0.6864999999999999,0.7689,0.2267,0.0044,0.11536238645732468,0.6385166609722099,0.997
0.2,False,moderate,0.0,0.5,global_trending,6,0.2141446020620689,0.06581844967778659,0.0,-0.008747024880966183,0.07524968859940766,0.017954834545769918,0.005,0.12629776641489404,0.08097084566779213,0.265,0.7,0.7834,0.21215,0.00445,0.11736893438025063,0.7002260764201022,0.9990000000000001
0.2,False,moderate,0.0,0.5,global_trending,7,0.21429617923449054,0.07067329838481272,0.0,-0.0017171263293145555,0.08953542234451405,0.03607683773213573,0.025,0.12452988855772801,0.09573930114924956,0.2735000000000001,0.715,0.7991,0.19325,0.00765,0.12149735159035281,0.5330252257819783,0.992
0.2,False,moderate,0.0,0.5,global_trending,8,0.21116894499781647,0.06778320580768361,0.0,-0.0033947933540206254,0.07874015101851935,0.021452724773949286,0.01,0.12545482289683482,0.07569361346935638,0.2709500000000001,0.7104999999999998,0.79705,0.1971,0.00585,0.11741882966583744,0.661039049616564,0.9930000000000001
0.2,False,moderate,0.0,0.5,global_trending,9,0.1882368633789826,0.0553590980268949,0.0,-0.04447027298073126,0.08271193262132272,0.019693632495144452,0.01,0.12560234762721673,0.08414711332525543,0.26925000000000004,0.7075,0.79425,0.20075,0.005,0.10419328582148932,0.64955546396784,0.9984999999999999
0.2,False,moderate,0.0,0.5,global_trending,10,0.19067270736532788,0.05993395057723383,0.0,-0.04458706814128632,0.0836656465675716,0.025685156824212227,0.015,0.1255566709411846,0.08432977884334374,0.26585000000000003,0.7014999999999999,0.7906,0.20375,0.00565,0.12560557149336385,0.6381582361098719,0.992
0.2,False,moderate,0.0,0.5,global_trending,11,0.20677842784499334,0.06467481037168486,0.005,0.03243698813244166,0.08260467178120771,0.022885325175883722,0.015,0.12518173216539932,0.08909755752429145,0.26415000000000005,0.6984999999999999,0.79185,0.20155,0.0066,0.11957655997562265,0.5713293868646797,0.9919999999999999
0.2,False,moderate,0.0,0.5,global_trending,12,0.1874308941515868,0.05725163832708178,0.0,-0.005102566718915068,0.07716135244230647,0.02657401194213489,0.015,0.1246448181355667,0.08016240765545567,0.2684,0.706,0.7954,0.19795,0.00665,0.11962138166416185,0.5403227908773331,0.995
0.2,False,moderate,0.0,0.5,global_trending,13,0.20742413892817788,0.06883293792811497,0.0,0.015265600012045128,0.09177630221590662,0.042671492625900136,0.035,0.12332344072994939,0.09469497476074001,0.27435000000000004,0.7164999999999998,0.79655,0.193,0.01045,0.11718848283278856,0.4787397969292752,0.986
0.2,False,moderate,0.0,0.5,global_trending,14,0.20123195672027003,0.06274228539491723,0.0,-0.03716635850931356,0.08475045736743732,0.02658038497202679,0.02,0.12489036106691892,0.08744991036446167,0.26925000000000004,0.7075,0.7971,0.19615,0.00675,0.10971561935614593,0.5457253255859658,0.9905000000000002
0.2,False,moderate,0.0,0.5,global_trending,15,0.2012947361494161,0.06365860920950267,0.0,0.022899492468281782,0.08433234492394232,0.025763400671631603,0.01,0.12552454313308758,0.08550543745480954,0.265,0.7,0.7852,0.2093,0.0055,0.1202292689465726,0.6073882142983518,0.997
0.2,False,moderate,0.0,0.5,global_trending,16,0.18498124756798773,0.059191549459804434,0.015,-0.011139496617171007,0.06984655698918991,0.0211107848124193,0.015,0.12518479450758932,0.07691196058487206,0.2735,0.715,0.8125,0.18235,0.00515,0.11442740060850394,0.5231360363857891,0.9919999999999999
0.2,False,moderate,0.0,0.5,global_trending,17,0.19410702927734774,0.058698556226263306,0.0,0.014548882718417876,0.0848290347223104,0.02779534540875556,0.015,0.125410593303439,0.08729429825825771,0.25905,0.6894999999999999,0.77985,0.2132,0.00695,0.12142725420080143,0.6113195320332773,0.9919999999999999
0.2,False,moderate,0.0,0.5,global_trending,18,0.20165396048859713,0.0638130168608846,0.015,-0.01737196377483436,0.07740236819018013,0.020118224829314812,0.01,0.12585099534310548,0.0789230144186396,0.26160000000000005,0.694,0.78805,0.20705,0.0049,0.11041760911320299,0.607802346160115,0.9980000000000001
0.2,False,moderate,0.0,0.5,global_trending,19,0.19008765232764696,0.05429898269545672,0.0,-0.051739196692985344,0.08533643669644064,0.017826335128173963,0.01,0.12540413495945726,0.09200214111368282,0.27435000000000004,0.7164999999999999,0.8114,0.18445,0.00415,0.11146663153696322,0.6917074431655393,0.996
0.2,False,moderate,0.0,0.5,global_trending,20,0.22587873647799955,0.07766143396443473,0.0,0.03601701886486753,0.10311404383132089,0.0379974446531336,0.025,0.12459523948349258,0.10627688943990744,0.27265000000000006,0.7134999999999999,0.78055,0.2111,0.00835,0.12510126431588625,0.5832216656554927,0.9925
0.2,False,moderate,0.4,0.4,hybrid,1,0.19321617257398763,0.0566674539185831,0.0,-0.03504246911814854,0.09551452797381714,0.030142384248496405,0.02,0.12479992136268372,0.09654791420620484,0.26585000000000003,0.7014999999999999,0.8116,0.17485,0.01355,0.11130445924126768,0.53825540869628,0.991
0.2,False,moderate,0.4,0.4,hybrid,2,0.1829481195603874,0.0550512851626827,0.01,-0.05034734646408984,0.08080077968101175,0.014924224398304663,0.005,0.1259603105980461,0.07999361508785768,0.26330000000000003,0.6969999999999998,0.81755,0.17905,0.0034,0.10898751450068588,0.6855536193664604,0.9990000000000001
0.2,False,moderate,0.4,0.4,hybrid,3,0.2106646626315866,0.06994732496217225,0.005,0.01882259494116013,0.08814960862920138,0.029010211938980186,0.02,0.1252030815098725,0.09214098477686114,0.26160000000000005,0.694,0.80545,0.18145,0.0131,0.11098871479119263,0.5874199163837251,0.9915
0.2,False,moderate,0.4,0.4,hybrid,4,0.20012041311949155,0.06056756629775172,0.005,0.010107908939909406,0.07862270222849228,0.02484251653654891,0.015,0.12528766031649405,0.08236353083729231,0.2667,0.7029999999999998,0.81455,0.17115,0.0143,0.1102440195129589,0.5669214208390317,0.9890000000000001
0.2,False,moderate,0.4,0.4,hybrid,5,0.2061683275967824,0.061832634036016305,0.0,-0.020062296835411293,0.0794597507418307,0.018303808049740033,0.005,0.12642661069378625,0.0775368616936876,0.2573500000000001,0.6864999999999999,0.7969,0.19955,0.00355,0.10587893009483658,0.6940075139821291,0.9995
0.2,False,moderate,0.4,0.4,hybrid,6,0.21267324534980506,0.06465436415586519,0.0,0.034210826681166935,0.08712166622721021,0.02074864013635727,0.01,0.1258474877841432,0.0916321986825818,0.265,0.7,0.8079,0.1862,0.0059,0.11619543802848657,0.662961149072728,0.9965
