backfire_rate,initial_preference_width,social_signal_weight,trending_weight,regime,seed,initial_mean_extremity,final_mean_extremity,final_opinion_variance,final_extreme_share,final_acceptance_rate,final_backfire_rate,final_ignore_rate,final_opinion_bimodality
0.0,0.2,0.0,0.5,global_trending,1,0.5380338813570394,0.25331874535709037,0.13899529430095392,0.075,0.57205,0.0294,0.39855,0.8756659176410412
0.0,0.2,0.0,0.5,global_trending,2,0.5039942537498406,0.23235475742608044,0.13966720708979583,0.125,0.5882,0.0279,0.3839,0.7916911665372192
0.0,0.2,0.0,0.5,global_trending,3,0.4890296296058673,0.22111193685772193,0.12724914387466985,0.105,0.6133,0.0259,0.3608,0.7477295071802739
0.0,0.2,0.0,0.5,global_trending,4,0.5382270372131428,0.2516392564203365,0.14180947337675348,0.095,0.56575,0.02895,0.4053,0.8702870870062064
0.0,0.2,0.0,0.5,global_trending,5,0.5029302632833011,0.23207067836593265,0.14020197259150394,0.12,0.58135,0.03135,0.3873,0.789046919870039
0.0,0.2,0.0,0.5,global_trending,6,0.5186356672752157,0.2639273318811536,0.1633898419544812,0.135,0.5611,0.0337,0.4052,0.8637500129538737
0.0,0.2,0.0,0.5,global_trending,7,0.513637667411623,0.2707280115486087,0.1407689147400972,0.1,0.59805,0.03055,0.3714,0.8068789154664315
0.0,0.2,0.0,0.5,global_trending,8,0.5087707013838418,0.25705394553912714,0.14318005492033467,0.11,0.5804,0.03005,0.38955,0.8235898493617324
0.0,0.2,0.0,0.5,global_trending,9,0.5037796340055101,0.2440905635455975,0.13943586293461313,0.13,0.60775,0.02745,0.3648,0.7474065566566409
0.0,0.2,0.0,0.5,global_trending,10,0.4783554051954107,0.2063877409634759,0.11209932730976059,0.075,0.61865,0.0243,0.35705,0.7788138061751011
0.0,0.2,0.0,0.5,global_trending,11,0.5245057294818782,0.24986560817496808,0.1525844005261024,0.125,0.5733,0.03185,0.39485,0.8347874245819075
0.0,0.2,0.0,0.5,global_trending,12,0.5092713362654364,0.2693265334105325,0.1543985743066613,0.105,0.58575,0.03665,0.3776,0.8131401555634385
0.0,0.2,0.0,0.5,global_trending,13,0.525746492476239,0.2826246604477852,0.14084682727754042,0.11,0.59025,0.0312,0.37855,0.8053732935825494
0.0,0.2,0.0,0.5,global_trending,14,0.49961878918402114,0.2334289992881549,0.13700655689754349,0.12,0.59765,0.0274,0.37495,0.7561823140536865
0.0,0.2,0.0,0.5,global_trending,15,0.49128662390873923,0.26303283727254123,0.1310894035451575,0.075,0.6116,0.03005,0.35835,0.7786786418419275
0.0,0.2,0.0,0.5,global_trending,16,0.5398227235682644,0.2186569196003919,0.12079216584228888,0.1,0.5908,0.0253,0.3839,0.8058261713410376
0.0,0.2,0.0,0.5,global_trending,17,0.501087792958863,0.23278848112747724,0.13691092176395478,0.125,0.6079,0.02685,0.36525,0.7556744372948743
0.0,0.2,0.0,0.5,global_trending,18,0.5282595433746189,0.25360043218988026,0.14535844111766655,0.11,0.5796,0.03115,0.38925,0.8332184198304803
0.0,0.2,0.0,0.5,global_trending,19,0.4817971947725576,0.23186521216653283,0.12493057218523135,0.11,0.62145,0.0287,0.34985,0.7671103395572383
0.0,0.2,0.0,0.5,global_trending,20,0.527119700541352,0.27683825854311556,0.15895310486567277,0.145,0.56905,0.0341,0.39685,0.8376738170864482
0.03,0.2,0.0,0.5,global_trending,1,0.5380338813570394,0.3020150287722174,0.222044820881534,0.185,0.54845,0.04865,0.4029,0.8321072963384103
0.03,0.2,0.0,0.5,global_trending,2,0.5039942537498406,0.2892667241277165,0.2148654849634051,0.185,0.56405,0.04685,0.3891,0.7943001605943617
0.03,0.2,0.0,0.5,global_trending,3,0.4890296296058673,0.27000969032156186,0.19569528778778575,0.17,0.60335,0.0487,0.34795,0.7344257139745295
0.03,0.2,0.0,0.5,global_trending,4,0.5382270372131428,0.31134762881029265,0.2226661875155594,0.185,0.53665,0.04815,0.4152,0.870079476959782
0.03,0.2,0.0,0.5,global_trending,5,0.5029302632833011,0.2906612883253309,0.21171444246766286,0.185,0.5568,0.04795,0.39525,0.8163448599474559
0.03,0.2,0.0,0.5,global_trending,6,0.5186356672752157,0.3331389177842749,0.26556462631253924,0.25,0.54305,0.05905,0.3979,0.8496093626864697
0.03,0.2,0.0,0.5,global_trending,7,0.513637667411623,0.3303984680375169,0.23200012281613128,0.21,0.5824,0.0681,0.3495,0.7835343368854816
0.03,0.2,0.0,0.5,global_trending,8,0.5087707013838418,0.311599490513724,0.2343480715707141,0.2,0.56675,0.05175,0.3815,0.8132755217669055
0.03,0.2,0.0,0.5,global_trending,9,0.5037796340055101,0.28761187937060445,0.20237218182256556,0.175,0.60215,0.0549,0.34295,0.7125607958781837
0.03,0.2,0.0,0.5,global_trending,10,0.4783554051954107,0.26819079775322086,0.18939086998994015,0.165,0.5992,0.0389,0.3619,0.7698891739305709
0.03,0.2,0.0,0.5,global_trending,11,0.5245057294818782,0.3055096393793596,0.23266055715849254,0.21,0.55665,0.0553,0.38805,0.8080971322964067
0.03,0.2,0.0,0.5,global_trending,12,0.5092713362654364,0.3566331296306722,0.24587352019248257,0.205,0.57,0.0971,0.3329,0.8570520833644012
0.03,0.2,0.0,0.5,global_trending,13,0.525746492476239,0.33082241636152715,0.22677836886819486,0.22,0.55925,0.05845,0.3823,0.8030810267311225
0.03,0.2,0.0,0.5,global_trending,14,0.49961878918402114,0.2887525958676642,0.2091513707245165,0.195,0.57195,0.04825,0.3798,0.773116768159371
