initial_preference_width,adaptive_tolerance,initial_distribution,seed,initial_mean_extremity,initial_opinion_variance,initial_extreme_share,final_mean_opinion,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_preference_extremity,final_acceptance_threshold,final_rejection_threshold,final_acceptance_rate,final_ignore_rate,final_backfire_rate,final_avg_exposure_distance
0.1,False,moderate,1,0.1738261891795971,0.04727174744947938,0.0,-0.001978288177078146,0.24486586669991955,0.0922541593206193,0.02,0.0608863491859009,0.24982836615463083,0.26585000000000003,0.7014999999999999,0.98315,0.01685,0.0,0.054821332381012444
0.1,False,moderate,2,0.18485706652298872,0.054586487409109805,0.0,0.014058448756684543,0.2332263014132407,0.08473281840819866,0.005,0.06092785371370445,0.23812727400935935,0.26330000000000003,0.6969999999999998,0.9809,0.0191,0.0,0.051516044736852715
0.1,False,moderate,3,0.19937881386156242,0.0629795752830603,0.0,0.0012725264653120228,0.24541276521834846,0.09509915607416518,0.0,0.060905739813316304,0.2483379133184755,0.26160000000000005,0.694,0.9821,0.0179,0.0,0.05020751338341782
0.1,False,moderate,4,0.21520482524982681,0.06666870384237632,0.0,0.027469732791444167,0.24948035904073973,0.0945520223297513,0.015,0.06088269331829899,0.25217105738941586,0.2667,0.7029999999999998,0.98335,0.01665,0.0,0.055361669895489796
0.1,False,moderate,5,0.2010894991821081,0.06500304193556382,0.01,-0.013784121333867146,0.25380492893669493,0.09658553133116873,0.01,0.06091474695987457,0.25646432166061545,0.2573500000000001,0.6864999999999999,0.9816,0.0184,0.0,0.04904397992097305
0.1,False,moderate,6,0.20968598124770615,0.06772181691859638,0.005,-0.017797587580857775,0.24121098396378152,0.09128844380659838,0.015,0.060947364393251754,0.24318352677166546,0.265,0.7,0.97985,0.02015,0.0,0.05398544446673233
0.1,False,moderate,7,0.21098579844659437,0.07760170563576373,0.005,0.022764109191642432,0.25250501360752303,0.10095331462678267,0.02,0.0608569518812226,0.25489658415070915,0.2735000000000001,0.715,0.98475,0.01525,0.0,0.054769054262533964
0.1,False,moderate,8,0.2037889234715372,0.06440739772481939,0.0,-0.014857770805967136,0.24307217258882446,0.09585443333546681,0.015,0.060875360027676774,0.2456836099171539,0.2709500000000001,0.7104999999999998,0.98375,0.01625,0.0,0.05114715863480329
0.1,False,moderate,9,0.1915866610382019,0.05671787419389826,0.0,-0.0029456654597282595,0.22158738557369392,0.07444601858944738,0.005,0.060879171420097355,0.22452083020707747,0.26925000000000004,0.7075,0.98355,0.01645,0.0,0.05630396865394794
0.1,False,moderate,10,0.20913238836571846,0.06529231524829816,0.005,-0.0032579558539981,0.23996469508197393,0.08981949241426927,0.015,0.06088540554302453,0.24221053143788546,0.26585000000000003,0.7014999999999999,0.9832,0.0168,0.0,0.05320142194265043
